ano,mes,data,regiao,uf,bioma,focos_queimada,temperatura_media,chuva_mm,area_atingida_km2,indice_seca,qualidade_ar,nivel_risco
2015,8,2015-08-01,Sul,RS,Pantanal,42,32.8,28.6,10.96,0.76,66.4,Alto
2015,9,2015-09-01,Norte,AM,Caatinga,20,30.5,11.6,12.92,0.53,84.0,Médio
2015,9,2015-09-01,Norte,PA,Pampa,38,34.0,0.0,8.07,0.93,69.6,Alto
2015,9,2015-09-01,Norte,RO,Caatinga,14,28.9,44.7,6.31,0.54,88.8,Médio
2015,9,2015-09-01,Norte,TO,Pantanal,36,29.8,62.6,15.48,0.56,71.2,Alto
2015,9,2015-09-01,Nordeste,BA,Amazônia,25,29.4,67.7,2.78,0.56,80.0,Médio
2015,9,2015-09-01,Nordeste,PE,Caatinga,19,29.3,55.6,7.56,0.57,84.8,Médio
2015,9,2015-09-01,Nordeste,CE,Pampa,16,31.2,0.0,10.73,0.44,87.2,Médio
2015,9,2015-09-01,Nordeste,MA,Pampa,23,28.4,47.8,11.13,0.68,81.6,Médio
2015,9,2015-09-01,Nordeste,PB,Pampa,21,31.6,0.0,9.85,0.68,83.2,Médio
2015,9,2015-09-01,Centro-Oeste,DF,Mata Atlântica,23,29.6,0.0,3.4,0.63,81.6,Médio
2015,9,2015-09-01,Centro-Oeste,GO,Mata Atlântica,25,28.8,28.2,8.74,0.59,80.0,Médio
2015,9,2015-09-01,Centro-Oeste,MT,Amazônia,60,29.2,0.0,27.39,1.0,52.0,Alto
2015,9,2015-09-01,Centro-Oeste,MS,Pampa,33,29.5,8.4,9.34,0.93,73.6,Alto
2015,9,2015-09-01,Sudeste,SP,Cerrado,46,30.9,69.5,11.92,0.71,63.2,Alto
2015,9,2015-09-01,Sudeste,RJ,Pampa,26,30.9,48.3,6.94,0.74,79.2,Médio
2015,9,2015-09-01,Sudeste,MG,Cerrado,44,29.7,0.8,12.29,0.72,64.8,Alto
2015,9,2015-09-01,Sudeste,ES,Amazônia,54,31.5,0.0,5.89,0.97,56.8,Alto
2015,9,2015-09-01,Sul,PR,Pantanal,3,31.3,94.0,0.65,0.1,97.6,Baixo
2015,9,2015-09-01,Sul,SC,Pampa,15,29.4,40.4,6.22,0.59,88.0,Médio
2015,9,2015-09-01,Sul,RS,Amazônia,34,30.5,0.0,6.9,0.49,72.8,Alto
2015,10,2015-10-01,Norte,AM,Pampa,27,30.6,14.9,9.8,0.75,78.4,Médio
2015,10,2015-10-01,Norte,PA,Pampa,24,29.9,39.0,13.42,0.74,80.8,Médio
2015,10,2015-10-01,Norte,RO,Caatinga,40,27.1,76.6,6.15,0.85,68.0,Alto
2015,10,2015-10-01,Norte,TO,Mata Atlântica,18,28.1,67.2,11.01,0.64,85.6,Médio
2015,10,2015-10-01,Nordeste,BA,Mata Atlântica,29,30.9,45.6,5.49,0.8,76.8,Médio
2015,10,2015-10-01,Nordeste,PE,Pantanal,51,29.3,20.5,17.21,0.76,59.2,Alto
2015,10,2015-10-01,Nordeste,CE,Amazônia,47,28.8,85.6,27.18,0.84,62.4,Alto
2015,10,2015-10-01,Nordeste,MA,Cerrado,66,27.4,0.0,9.46,0.93,47.2,Alto
2015,10,2015-10-01,Nordeste,PB,Caatinga,36,33.4,4.9,3.82,0.79,71.2,Alto
2015,10,2015-10-01,Centro-Oeste,DF,Amazônia,24,32.5,30.9,12.75,0.49,80.8,Médio
2015,10,2015-10-01,Centro-Oeste,GO,Pampa,25,30.1,80.1,8.64,0.72,80.0,Médio
2015,10,2015-10-01,Centro-Oeste,MT,Amazônia,45,29.6,63.5,21.2,0.69,64.0,Alto
2015,10,2015-10-01,Centro-Oeste,MS,Pantanal,28,27.7,28.0,13.1,0.56,77.6,Médio
2015,10,2015-10-01,Sudeste,SP,Cerrado,55,31.6,97.6,8.93,0.8,56.0,Alto
2015,10,2015-10-01,Sudeste,RJ,Mata Atlântica,15,29.1,33.4,9.47,0.61,88.0,Médio
2015,10,2015-10-01,Sudeste,MG,Pantanal,39,29.0,71.2,20.76,0.53,68.8,Alto
2015,10,2015-10-01,Sudeste,ES,Amazônia,47,28.5,19.9,10.91,0.75,62.4,Alto
2015,10,2015-10-01,Sul,PR,Cerrado,78,32.4,34.0,17.72,0.95,37.6,Crítico
2015,10,2015-10-01,Sul,SC,Amazônia,23,30.3,19.9,12.0,0.45,81.6,Médio
2015,10,2015-10-01,Sul,RS,Pantanal,38,29.3,16.4,14.39,0.72,69.6,Alto
2015,11,2015-11-01,Norte,AM,Pampa,16,29.9,64.4,3.77,0.21,87.2,Médio
2015,11,2015-11-01,Norte,PA,Caatinga,15,33.0,54.5,2.69,0.42,88.0,Médio
2015,11,2015-11-01,Norte,RO,Caatinga,12,27.2,77.6,6.22,0.22,90.4,Médio
2015,11,2015-11-01,Norte,TO,Caatinga,25,29.8,28.2,12.58,0.61,80.0,Médio
2015,11,2015-11-01,Nordeste,BA,Amazônia,32,29.5,72.2,19.39,0.47,74.4,Alto
2015,11,2015-11-01,Nordeste,PE,Cerrado,6,29.4,41.7,4.18,0.09,95.2,Baixo
2015,11,2015-11-01,Nordeste,CE,Amazônia,16,28.5,0.9,9.72,0.28,87.2,Médio
2015,11,2015-11-01,Nordeste,MA,Caatinga,18,24.8,59.0,2.51,0.46,85.6,Médio
2015,11,2015-11-01,Nordeste,PB,Caatinga,7,28.6,56.2,2.47,0.25,94.4,Baixo
2015,11,2015-11-01,Centro-Oeste,DF,Amazônia,0,29.0,119.3,0.0,0.0,100.0,Baixo
2015,11,2015-11-01,Centro-Oeste,GO,Pantanal,11,30.0,79.9,4.28,0.22,91.2,Médio
2015,11,2015-11-01,Centro-Oeste,MT,Mata Atlântica,28,27.6,61.4,19.1,0.59,77.6,Médio
2015,11,2015-11-01,Centro-Oeste,MS,Mata Atlântica,15,27.3,19.7,9.85,0.41,88.0,Médio
2015,11,2015-11-01,Sudeste,SP,Pampa,18,27.0,102.5,9.22,0.48,85.6,Médio
2015,11,2015-11-01,Sudeste,RJ,Mata Atlântica,13,30.5,16.3,2.55,0.38,89.6,Médio
2015,11,2015-11-01,Sudeste,MG,Pantanal,24,31.7,0.0,14.64,0.47,80.8,Médio
2015,11,2015-11-01,Sudeste,ES,Pampa,5,24.7,3.1,2.05,0.2,96.0,Baixo
2015,11,2015-11-01,Sul,PR,Cerrado,7,30.4,79.2,2.6,0.21,94.4,Baixo
2015,11,2015-11-01,Sul,SC,Pampa,8,31.6,76.1,4.92,0.27,93.6,Baixo
2015,11,2015-11-01,Sul,RS,Caatinga,13,28.7,36.9,6.74,0.35,89.6,Médio
2015,12,2015-12-01,Norte,AM,Amazônia,20,34.0,62.8,3.54,0.38,84.0,Médio
2015,12,2015-12-01,Norte,PA,Amazônia,21,28.8,105.2,10.28,0.31,83.2,Médio
2015,12,2015-12-01,Norte,RO,Amazônia,15,32.3,62.2,9.34,0.38,88.0,Médio
2015,12,2015-12-01,Norte,TO,Mata Atlântica,13,32.9,94.2,4.69,0.39,89.6,Médio
2015,12,2015-12-01,Nordeste,BA,Caatinga,14,27.2,11.7,6.98,0.42,88.8,Médio
2015,12,2015-12-01,Nordeste,PE,Mata Atlântica,3,30.8,60.2,1.75,0.19,97.6,Baixo
2015,12,2015-12-01,Nordeste,CE,Pantanal,39,26.1,53.4,24.95,0.51,68.8,Alto
2015,12,2015-12-01,Nordeste,MA,Mata Atlântica,10,29.3,41.5,3.95,0.28,92.0,Médio
2015,12,2015-12-01,Nordeste,PB,Caatinga,30,30.4,65.5,20.67,0.67,76.0,Alto
2015,12,2015-12-01,Centro-Oeste,DF,Cerrado,5,24.6,91.3,1.79,0.07,96.0,Baixo
2015,12,2015-12-01,Centro-Oeste,GO,Mata Atlântica,14,31.1,34.8,4.96,0.42,88.8,Médio
2015,12,2015-12-01,Centro-Oeste,MT,Caatinga,11,25.6,74.9,5.71,0.2,91.2,Médio
2015,12,2015-12-01,Centro-Oeste,MS,Pampa,14,27.4,54.2,1.48,0.42,88.8,Médio
2015,12,2015-12-01,Sudeste,SP,Pampa,18,26.2,64.9,10.99,0.34,85.6,Médio
2015,12,2015-12-01,Sudeste,RJ,Caatinga,9,30.6,97.1,3.41,0.31,92.8,Baixo
2015,12,2015-12-01,Sudeste,MG,Pantanal,30,24.8,7.8,15.88,0.49,76.0,Alto
2015,12,2015-12-01,Sudeste,ES,Caatinga,25,31.3,102.8,11.86,0.77,80.0,Médio
2015,12,2015-12-01,Sul,PR,Pantanal,9,26.2,81.2,3.72,0.12,92.8,Baixo
2015,12,2015-12-01,Sul,SC,Caatinga,19,30.1,59.8,2.39,0.32,84.8,Médio
2015,12,2015-12-01,Sul,RS,Amazônia,28,30.0,68.6,8.25,0.49,77.6,Médio
2016,1,2016-01-01,Norte,AM,Mata Atlântica,30,29.4,0.0,3.17,0.72,76.0,Alto
2016,1,2016-01-01,Norte,PA,Pantanal,24,32.7,138.1,12.24,0.27,80.8,Médio
2016,1,2016-01-01,Norte,RO,Pampa,12,29.3,71.8,6.16,0.43,90.4,Médio
2016,1,2016-01-01,Norte,TO,Pantanal,26,32.8,76.2,15.52,0.41,79.2,Médio
2016,1,2016-01-01,Nordeste,BA,Pampa,11,26.9,53.0,5.63,0.33,91.2,Médio
2016,1,2016-01-01,Nordeste,PE,Caatinga,5,31.2,34.8,2.16,0.13,96.0,Baixo
2016,1,2016-01-01,Nordeste,CE,Caatinga,11,30.3,10.5,3.98,0.21,91.2,Médio
2016,1,2016-01-01,Nordeste,MA,Cerrado,23,29.9,52.8,2.71,0.28,81.6,Médio
2016,1,2016-01-01,Nordeste,PB,Amazônia,34,29.9,38.6,18.91,0.59,72.8,Alto
2016,1,2016-01-01,Centro-Oeste,DF,Amazônia,47,32.0,0.0,31.68,0.75,62.4,Alto
2016,1,2016-01-01,Centro-Oeste,GO,Cerrado,39,29.4,23.2,14.2,0.52,68.8,Alto
2016,1,2016-01-01,Centro-Oeste,MT,Caatinga,16,30.9,98.9,10.21,0.59,87.2,Médio
2016,1,2016-01-01,Centro-Oeste,MS,Cerrado,20,30.0,51.6,10.69,0.43,84.0,Médio
2016,1,2016-01-01,Sudeste,SP,Pantanal,27,28.1,0.0,15.91,0.4,78.4,Médio
2016,1,2016-01-01,Sudeste,RJ,Caatinga,11,27.4,133.9,2.66,0.34,91.2,Médio
2016,1,2016-01-01,Sudeste,MG,Cerrado,5,30.3,103.4,1.24,0.11,96.0,Baixo
2016,1,2016-01-01,Sudeste,ES,Caatinga,17,30.1,94.1,4.47,0.61,86.4,Médio
2016,1,2016-01-01,Sul,PR,Cerrado,29,24.8,38.8,16.07,0.37,76.8,Médio
2016,1,2016-01-01,Sul,SC,Caatinga,22,25.5,88.5,11.83,0.55,82.4,Médio
